frequency	V(onoise)
1.737800828749369e+01	1.503426e-08
1.778279410038916e+01	1.458963e-08
1.819700858609976e+01	1.415960e-08
1.862087136662860e+01	1.374374e-08
1.905460717963240e+01	1.334164e-08
1.949844599758038e+01	1.295290e-08
1.995262314968872e+01	1.257714e-08
2.041737944669521e+01	1.221397e-08
2.089296130854031e+01	1.186302e-08
2.137962089502224e+01	1.152394e-08
2.187761623949544e+01	1.119637e-08
2.238721138568331e+01	1.087997e-08
2.290867652767764e+01	1.057442e-08
2.344228815319913e+01	1.027939e-08
2.398832919019481e+01	9.994559e-09
2.454708915685020e+01	9.719633e-09
2.511886431509570e+01	9.454315e-09
2.570395782768853e+01	9.198314e-09
2.630267991895371e+01	8.951353e-09
2.691534803926904e+01	8.713157e-09
2.754228703338154e+01	8.483465e-09
2.818382931264442e+01	8.262018e-09
2.884031503126593e+01	8.048567e-09
2.951209226666373e+01	7.842870e-09
3.019951720402003e+01	7.644690e-09
3.090295432513577e+01	7.453798e-09
3.162277660168365e+01	7.269970e-09
3.235936569296268e+01	7.092990e-09
3.311311214825896e+01	6.922646e-09
3.388441561392010e+01	6.758733e-09
3.467368504525301e+01	6.601050e-09
3.548133892335738e+01	6.449403e-09
3.630780547700997e+01	6.303602e-09
3.715352290971708e+01	6.163462e-09
3.801893963205595e+01	6.028802e-09
3.890451449942788e+01	5.899449e-09
3.981071705534954e+01	5.775230e-09
4.073802778041109e+01	5.655978e-09
4.168693834703335e+01	5.541532e-09
4.265795188015907e+01	5.431732e-09
4.365158322401639e+01	5.326423e-09
4.466835921509610e+01	5.225455e-09
4.570881896148729e+01	5.128680e-09
4.677351412871960e+01	5.035954e-09
4.786300923226361e+01	4.947138e-09
4.897788193684438e+01	4.862094e-09
5.011872336272698e+01	4.780688e-09
5.128613839913623e+01	4.702791e-09
5.248074602497700e+01	4.628275e-09
5.370317963702501e+01	4.557016e-09
5.495408738576219e+01	4.488894e-09
5.623413251903463e+01	4.423792e-09
5.754399373371541e+01	4.361593e-09
5.888436553555861e+01	4.302187e-09
6.025595860743547e+01	4.245466e-09
6.165950018614791e+01	4.191324e-09
6.309573444801901e+01	4.139657e-09
6.456542290346522e+01	4.090366e-09
6.606934480075925e+01	4.043355e-09
6.760829753919782e+01	3.998530e-09
6.918309709189329e+01	3.955798e-09
7.079457843841342e+01	3.915073e-09
7.244359600749863e+01	3.876269e-09
7.413102413009136e+01	3.839303e-09
7.585775750291798e+01	3.804094e-09
7.762471166286876e+01	3.770567e-09
7.943282347242773e+01	3.738646e-09
8.128305161640949e+01	3.708260e-09
8.317637711026666e+01	3.679339e-09
8.511380382023719e+01	3.651816e-09
8.709635899560760e+01	3.625628e-09
8.912509381337408e+01	3.600714e-09
9.120108393559049e+01	3.577012e-09
9.332543007969861e+01	3.554467e-09
9.549925860214309e+01	3.533024e-09
9.772372209558054e+01	3.512631e-09
9.999999999999946e+01	3.493237e-09
1.023292992280749e+02	3.474794e-09
1.047128548050894e+02	3.457257e-09
1.071519305237600e+02	3.440582e-09
1.096478196143179e+02	3.424725e-09
1.122018454301957e+02	3.409648e-09
1.148153621496876e+02	3.395312e-09
1.174897554939523e+02	3.381680e-09
1.202264434617406e+02	3.368717e-09
1.230268770812374e+02	3.356391e-09
1.258925411794160e+02	3.344669e-09
1.288249551693126e+02	3.333521e-09
1.318256738556399e+02	3.322919e-09
1.348962882591645e+02	3.312834e-09
1.380384264602876e+02	3.303242e-09
1.412537544622746e+02	3.294117e-09
1.445439770745919e+02	3.285436e-09
1.479108388168198e+02	3.277176e-09
1.513561248436199e+02	3.269316e-09
1.548816618912472e+02	3.261837e-09
1.584893192461104e+02	3.254717e-09
1.621810097358920e+02	3.247940e-09
1.659586907437551e+02	3.241489e-09
1.698243652461734e+02	3.235346e-09
1.737800828749365e+02	3.229496e-09
1.778279410038912e+02	3.223924e-09
1.819700858609972e+02	3.218617e-09
1.862087136662855e+02	3.213560e-09
1.905460717963235e+02	3.208742e-09
1.949844599758032e+02	3.204150e-09
1.995262314968867e+02	3.199773e-09
2.041737944669516e+02	3.195600e-09
2.089296130854026e+02	3.191621e-09
2.137962089502218e+02	3.187827e-09
2.187761623949538e+02	3.184207e-09
2.238721138568325e+02	3.180754e-09
2.290867652767758e+02	3.177459e-09
2.344228815319906e+02	3.174314e-09
2.398832919019474e+02	3.171312e-09
2.454708915685014e+02	3.168446e-09
2.511886431509563e+02	3.165708e-09
2.570395782768846e+02	3.163094e-09
2.630267991895364e+02	3.160596e-09
2.691534803926897e+02	3.158209e-09
2.754228703338148e+02	3.155928e-09
2.818382931264435e+02	3.153747e-09
2.884031503126586e+02	3.151662e-09
2.951209226666365e+02	3.149667e-09
3.019951720401995e+02	3.147760e-09
3.090295432513569e+02	3.145935e-09
3.162277660168357e+02	3.144188e-09
3.235936569296260e+02	3.142516e-09
3.311311214825888e+02	3.140916e-09
3.388441561392002e+02	3.139383e-09
3.467368504525292e+02	3.137915e-09
3.548133892335729e+02	3.136509e-09
3.630780547700987e+02	3.135162e-09
3.715352290971698e+02	3.133870e-09
3.801893963205584e+02	3.132632e-09
3.890451449942777e+02	3.131445e-09
3.981071705534943e+02	3.130306e-09
4.073802778041097e+02	3.129214e-09
4.168693834703323e+02	3.128166e-09
4.265795188015895e+02	3.127161e-09
4.365158322401627e+02	3.126195e-09
4.466835921509598e+02	3.125268e-09
4.570881896148716e+02	3.124378e-09
4.677351412871947e+02	3.123523e-09
4.786300923226348e+02	3.122702e-09
4.897788193684425e+02	3.121913e-09
5.011872336272685e+02	3.121154e-09
5.128613839913610e+02	3.120425e-09
5.248074602497686e+02	3.119723e-09
5.370317963702487e+02	3.119049e-09
5.495408738576203e+02	3.118400e-09
5.623413251903447e+02	3.117776e-09
5.754399373371524e+02	3.117175e-09
5.888436553555844e+02	3.116597e-09
6.025595860743530e+02	3.116040e-09
6.165950018614773e+02	3.115504e-09
6.309573444801882e+02	3.114987e-09
6.456542290346504e+02	3.114490e-09
6.606934480075907e+02	3.114010e-09
6.760829753919763e+02	3.113548e-09
6.918309709189309e+02	3.113103e-09
7.079457843841321e+02	3.112673e-09
7.244359600749841e+02	3.112259e-09
7.413102413009113e+02	3.111859e-09
7.585775750291774e+02	3.111474e-09
7.762471166286851e+02	3.111102e-09
7.943282347242747e+02	3.110743e-09
8.128305161640923e+02	3.110397e-09
8.317637711026639e+02	3.110062e-09
8.511380382023692e+02	3.109739e-09
8.709635899560732e+02	3.109427e-09
8.912509381337379e+02	3.109126e-09
9.120108393559019e+02	3.108835e-09
9.332543007969830e+02	3.108554e-09
9.549925860214277e+02	3.108282e-09
9.772372209558022e+02	3.108019e-09
1.000000000000000e+03	3.107764e-09
